name,price,store,brand,location,sold,rating,details_link,description
Bubuk minuman moringa kemasan repack 1 Kg Bonus 150 Gr Cod,Rp110.000,,,Kota Pontianak,10 Terjual,0.0,https://www.lazada.co.id/products/bubuk-minuman-moringa-kemasan-repack-1-kg-bonus-150-gr-cod-i8385564875.html,
Dar Bumi Paket Bulking Alami Moringa Daun Kelor Bubuk Premium Dan Madu Murni 350 Gram Varian Raw Honey,Rp64.900,,,Kota Jakarta Barat,445 Terjual,0.0,https://www.lazada.co.id/products/dar-bumi-paket-bulking-alami-moringa-daun-kelor-bubuk-premium-dan-madu-murni-350-gram-varian-raw-honey-i8249122400.html,
Daun Kelor Moringa Bubuk Organik 450 Gr Premium Pure Organik Dari Bumi,Rp47.500,,,Kota Jakarta Barat,3.5K Terjual,0.0,https://www.lazada.co.id/products/daun-kelor-moringa-bubuk-organik-450-gr-premium-pure-organik-dari-bumi-i7549106805.html,
Daun Kelor Bubuk Safiya 350 Gram Moringa Powder Original Safiya,Rp12.500,,,Kota Jakarta Barat,2.7K Terjual,0.0,https://www.lazada.co.id/products/daun-kelor-bubuk-safiya-350-gram-moringa-powder-original-safiya-i1669978478.html,
Daun Kelor Moringa Bubuk 400 Gr Premium Pure Organic - Padangb ulan,Rp18.999,,,Kota Jakarta Selatan,261 Terjual,0.0,https://www.lazada.co.id/products/daun-kelor-moringa-bubuk-400-gr-premium-pure-organic-padangb-ulan-i8186644265.html,
Jamu herbal kapsul tradisional De Moringa Sari Daun kelor,Rp35.000,,,Kab. Bandung,80 Terjual,0.0,https://www.lazada.co.id/products/jamu-herbal-kapsul-tradisional-de-moringa-sari-daun-kelor-i8265214431.html,
BELI 2 GRATIS 1 Kapsul Ekstrak Daun Kelor 100 Kapsul Asli 100% Original Moringa Oliefera BPOM Keloreena,Rp69.000,,,Kota Bogor,117 Terjual,0.0,https://www.lazada.co.id/products/beli-2-gratis-1-kapsul-ekstrak-daun-kelor-100-kapsul-asli-100-original-moringa-oliefera-bpom-keloreena-i7951772408.html,
Daun Kelor Moringa Bubuk Dari Bumi Serbuk Kelor Organik,Rp44.500,,,Kota Jakarta Barat,2.7K Terjual,0.0,https://www.lazada.co.id/products/daun-kelor-moringa-bubuk-dari-bumi-serbuk-kelor-organik-i1188038662.html,
Serbuk Daun Kelor 100 Gram | Powder Moringa Moringa Original Assyifa Ghaniyyu Shop,Rp9.500,,,Kota Medan,126 Terjual,0.0,https://www.lazada.co.id/products/serbuk-daun-kelor-100-gram-powder-moringa-moringa-original-assyifa-ghaniyyu-shop-i7735282978.html,
Bubuk Daun Kelor Dari Bumi - Moringa Asli Serbuk Kelor Powder Herbal Original,Rp25.700,,,Kota Jakarta Barat,148 Terjual,0.0,https://www.lazada.co.id/products/bubuk-daun-kelor-dari-bumi-moringa-asli-serbuk-kelor-powder-herbal-original-i8335998377.html,
