name,original_price,discounted_price,discount,store,location,sold,details_link,description,rating
Daun Kelor Bubuk / Moringa Powder Premium Original Nutrione,Rp105.000,Rp59.500,43%,NutriOneID,Jakarta Utara,1rb+ terjual,https://www.tokopedia.com/nutrioneid/daun-kelor-bubuk-moringa-powder-premium-original-nutrione?extParam=ivf%3Dfalse%26keyword%3Dmoringa+powder&src=topads,"Nutrione Daun Kelor Bubuk (MoringaPowder)

Daun kelor merupakan tanaman asli India yang mengandung protein, vitamin, dan mineral guna melawan malnutrisi. Daun kelor adalah salah satu sumber makanan yang bermanfaat untuk kesehatan

Nutrione Daun Kelor Bubuk (MoringaPowder) merupakan produk bubuk hasil olahan dari daun kelor yang terbuat dari 100% daun kelor asli dan tanpa menggunakan bahan pengawet.

- Terbuat dari 100% daun kelor asli dan alami
- Tanpa menggunakan bahan pengawet
- Berat bersih 250 gram
- Bubuk halus dan mudah larut dalam air
- Dapat tahan sampai dengan 1 tahun

Manfaat Daun kelor:
1.Membantu menurunkan kadar gula darah
2.Membantu meredakan peradangan
3.Menurunkan kolestrol
4.Melindungi tubuh dari racun arsenik
5.Baik untuk kesehatan jantung dan daya ingat
6.Mencegah anemia
7.Mencegah kecacatan bayi dalam kandungan
8.Meningkatkan energi dalam tubuh
9.Membantu memperlancar ASI

Cara Penyimpanan: Simpan di suhu ruangan dan hindari dari paparan sinar matahari langsung

Cara Penggunaan:
-Dapat digunakan sebagai jamu atau makanan
- Anda juga dapat langsung menyeduh daun kelor bubuk untuk diminum langsung, anda juga dapat menambahkan lemon, madu, atau jahe agar lebih lezat.
- Dapat juga diracik dengan bahan-bahan lain

Kebijakan Toko :
- Bila ada kendala/pertanyaan harap menghubungi kami terlebih dahulu lewat chat",4.9
"Herbilogy, Moringa Extract Powder 100gr",Rp96.500,,,Nourish Indonesia,Jakarta Barat,100+ terjual,https://www.tokopedia.com/nourishindonesia/herbilogy-moringa-extract-powder-100gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa+powder%26whid%3D14936847&src=topads,"Benefits

Tanaman ini dikenal ajaib dan memiliki multi fungsi kesehatan. Moringa atau daun Kelor dipercaya dapat menstabilkan tekanan darah, gula darah, sebagai aphrodisiac, mengatasi anemia, dan digunakan untuk mengatasi masalah malnutrisi pada anak-anak hingga orang lanjut usia karena kandungan nutrisinya, serta masih banyak lagi manfaat kesehatannya. Daun kelor juga dikenal dapat melancarkan ASI dan dapat dikonsumsi sebagai alternatif pemberian daun katuk.
Ingredients

Ingredients: 100g pack contains 100% Super Fine & Premium Moringa Oleifera (herba) extract powder

Origin: Indonesia

Taste: Moringa natural taste

Rekomendasi penggunaan:

Bagaimana cara menggunakan? Campurkan 1 sendok teh (3 gram) dengan segelas susu hangat atau dicampur dengan jus, smoothies.

Anjuran pemakaian: satu hingga tiga kali sehari disertai dengan minum air putih yang cukup.

Follow our simple recipes here or create your own and get the natural goodness everyday.

Our Ingredients are 100% natural, made purely from real & fresh plants

We ensure you get all the goodness from the fresh plants with assured quality.

No sugar, No MSG, No artificial flavors or colors, No preservatives, No chemicals (bahan kimia obat) added. Our powders taste as good as the real plants.

Gluten Free, No Dairy, no Wheat, No Soy, non-GMO Organic Raw Ingredients

Have longer shelf life with minimum change of taste and smell if stored correctly*.

Are practical. Easy to use. Easy to store.

One teaspoon of powder replaces 3 or more hours of processing (buying plants or herbal produce from the market, cleaning it, boiling it, and reducing it to its concentrate)",4.9
"Timurasa, Organik Moringa Powder 60gr",Rp27.300,,,Nourish Indonesia,Jakarta Barat,250+ terjual,https://www.tokopedia.com/nourishindonesia/timurasa-organik-moringa-powder-60gr?extParam=ivf%3Dfalse%26keyword%3Dmoringa+powder%26whid%3D14936847&src=topads,"sejak jaman dulu daun kelor telah diketahui memiliki berbagai manfaat kesehatan. Para orang tua jaman dulu telah memanfaatkan daun kelor ini untuk penyembuhan salah satunya untuk demam.. . . Dari beberapa literature yang ada, diketahui daun kelor memiliki manfaat sebagai antimikroba, antibakteri, antioksidan, mempercepat penyembuhan berbagai penyakit radang, mengobati penyakit flu dan pilek, cacingan, bronchitis, kanker, dan tiroid. Beberapa literature bahkan menyebutkan bahwa daun kelor ini memiliki manfaat untuk mengendalikan virus herpes simplek dan HIV/AIDS. Wow banget kan ya si daun kelor Timbul pertanyaan mengapa daun kelor ini memiliki begitu banyak manfaat untuk kesehatan, terutama dalam mengobati berbagai macam penyakit? Hal ini disebabkan oleh tingginya kandungan nutrisi berbagai jenis vitamin dan mineral dalam daun kelor ini. Sebagai contoh, kandungan vitamin C dalam daun kelor ternyata bisa mencapai tujuh kali lipat dari kandungan vitamin C dalam jeruk. Tidak heran jika daun kelor ini memiliki manfaat sebagai antioksidan. Bagaimana dengan vitamin A? ternyata kandungan vitamin A dalam daun kelor ini empat kali lipat dibandingkan dengan kandungan vitamin A dalam wortel. Berikutnya, kandungan kalsium dalam daun kelor ternyata memiliki kandungan empat kali lebih banyak dibandingkan dengan klasium susu USES : SPRINKLE : into salads, eggs, roasted veg, granola, oatmeal, pasta, risotto BAKE : : into savoury bread, brownies, muffins, cookies STIR : into soups , dips, sauces, casseroles, stews SHAKE : into apple juice, coconut water, salad dressing BLEND: into sauces, green juices, milk, smoothies, ice creams",5
"Herbana Relief Sari Powder Daun Kelor Moringa Sumber Nutrisi, Vitamin- Isi 30 Sachet @4g",Rp183.000,Rp149.000,19%,HERBANA,Tangerang,90+ terjual,https://www.tokopedia.com/herbana/herbana-relief-sari-powder-daun-kelor-moringa-sumber-nutrisi-vitamin-isi-30-sachet-4g?extParam=ivf%3Dfalse%26keyword%3Dmoringa+powder&src=topads,"Herbal
Halal MUI
No. BPOM: TR 142 381 121
Isi 30 sachets @4g
Fungsi utama: Berkhasiat untuk membantu memelihara kesehatan
Aturan pakai: Ambil 1 sachet Relief Sari Powder, campurkan dengan segelas air atau makanan/minuman favorit anda
Komposisi : 4g Ekstrak Moringae oleiferae Folium (Ekstrak Daun Kelor)
Herbana menyediakan alternatif untuk gaya hidup yang lebih sehat dengan mengkombinasikan kearifan lokal dengan proses yang modern, sehingga anda bisa menikmati potensi dari alam dengan lebih mudah. Herbana terbuat dari ekstrak tunggal tumbuhan yang diproses dengan menggunakan System Quadra Extraction.
Diproduksi oleh PT Deltomed Laboratories
*Baca aturan pakai
Note :
Jam operasional admin Herbana Senin sd Jumat, pukul 09.00 sd 15.00 wib.
Pesanan yang masuk akan diproses maksimal H+1 setelah terbit invoice dan no resi akan update pada akun anda H+2 setelah terbit invoice. Kecuali pada hari Sabtu-Minggu, atau hari libur nasional (toko kami tutup/tidak ada pengiriman).
Pesanan yang bisa di klik dan masuk keranjang, maka stok ready",5
MORINGA OLEIFERA LEAF POWDER 60 CAPSULES BUBUK DAUN KELOR ORGANIK,Rp66.500,,,naturamacare,Jakarta Selatan,90+ terjual,https://www.tokopedia.com/naturamacare/moringa-oleifera-leaf-powder-60-capsules-bubuk-daun-kelor-organik?extParam=ivf%3Dfalse%26keyword%3Dmoringa+powder&src=topads,"Moringa Oleifera Leaf Powder Organic
Bubuk Daun Kelor Murni Organik
Tidak mengandung pewarna atau pengawet.
Praktis dan higienis.
Sudah di kemas dalam kapsul
Isi 60 Kapsul
Kemasan alumunium foil

Moringa oleifera adalah tanaman asli India utara yang juga dapat tumbuh di tempat tropis dan sub tropis lainnya, seperti Asia dan Afrika. Pengobatan tradisional telah menggunakan daun, bunga, biji, dan akar tanaman ini selama berabad-abad.

Ini secara tradisional telah digunakan sebagai obat untuk kondisi seperti:
Diabetes
Peradangan yang berlangsung lama
Infeksi bakteri, virus, dan jamur
Nyeri sendi
Kesehatan jantung
Kanker

Takaran penggunaan:
Cukup 2 kali sehari, pagi dan sore
Ready Stock. (Jika produk tayang berarti ada stok)
Silahkan di Order.

#moringaleaf
#puremoringa
#moringaoleifera",5
KELORINA - ROYAL MORINGA POWDER - Tepung Daun Kelor halus Mesh1,Rp85.000,,,Moringa Organik Indonesia Official,Kab. Blora,750+ terjual,https://www.tokopedia.com/kelorina/kelorina-royal-moringa-powder-tepung-daun-kelor-halus-mesh1-250-gram-9ff28?extParam=ivf%3Dtrue%26keyword%3Dmoringa+powder%26search_id%3D202503110425579FE4D8CBFF7EAD08CR7L%26src%3Dsearch,"Royal Moringa 500 Gram | Tepung Daun Kelor | Serbuk Daun Kelor | Original Ori 100% | Anti Bacterial | Herbal Kaya Nutrisi | Detox


Royal Moringa adalah Tepung Daun Kelor Halus, bahan makanan bernutrisi tinggi yang berasal dari 100% daun kelor segar yang dibudidayakan dengan kaidah organik, diolah dengan metode khusus Moringa Organik Indonesia yang menjamin keutuhan Nutrisi Tinggi yang dikandungnya. Royal Moringa mengandung 18 Asam Amino yang berperan penting untuk kesehatan dan pertumbuhan.

Serbuk daun kelor juga bermanfaat untuk:
Menurunkan gula darah
Menurunkan kolesterol
Kaya anti oksidan untuk melawan radikal bebas
Meningkatkan daya tahan tubuh
Sumber nutrisi dan vitamin
Membantu detoksifikasi
Sumber asam amino esensial

Petunjuk Penggunaan :

Tepung Daun Kelor Royal Moringa dapat dicampurkan ke dalam makanan dan minuman sehari-hari, seperti smoothies, juice buah, susu, kopi, atau dibuat seduhan dicampur minuman rempah, teh hijau, teh hitam atau teh putih.

Taburkan pada sayur, bubur, nasi, salad, telur, pasta, saus, kecap, dan masakan siap saji lainnya. Bisa juga dicampurkan pada adonan kue, puding, agar-agar, coklat dan penganan lainnya.
Mulai dengan takaran yang sedikit untuk menyesuaikan rasa, lalu tambahkan perlahan sesuai selera.

BPOM RI MD 619111001777
Masa Simpan 2 tahun
Lihat Petunjuk Penggunaan.

Berat Bersih : 500 g
Berat dikemasan : 600 g

Berat Bersih : 250 g
Berat dikemasan : 350 g

Disclaimer
Meskipun banyak literatur menyebutkan Kelor memiliki khasiat obat yang terbukti secara ilmiah. Bahkan Kitab Ayur Veda menyebutkan mampu mengatasi 300 penyakit, PT Moringa Organik Indonesia TIDAK PERNAH me",5
Daun Kelor Bubuk / Organic Moringa Powder,Rp12.000,,,Essenli Official Shop,Semarang,100+ terjual,https://www.tokopedia.com/essenliofficial/daun-kelor-bubuk-organic-moringa-powder-1730794984019428966?extParam=ivf%3Dtrue%26keyword%3Dmoringa+powder%26search_id%3D202503110425579FE4D8CBFF7EAD08CR7L%26src%3Dsearch,"Kemasan : Pouch 50gr, Jar 250gr

Izin Dishanpan PSAT-PDUK 337407010990223

Daun Kelor Bubuk (Moringa oleifera) dari Essenli dibuat dari 100% daun kelor/moringa asli yang diolah menjadi bubuk, tanpa campuran apapun. Daun Kelor terkenal sebagai salah satu tanaman paling bergizi dengan kombinasi yang komplit dibandingkan tanaman lainnya. Lebih dari 40 antioksidan dan 90 jenis nutrisi penting seperti vitamin, mineral, asam amino, antioksidan, anti penuaan dan anti inflamasi.

Kandungan nutrisi yang banyak dari daun kelor sendiri membuat tanaman ini dijuluki sebagai The Miracle Tree dan Tree of Life. Daun kelor memiliki manfaat menurunkan kolesterol, membantu mengontrol gula darah, melawan berbagai jenis kanker, mengurangi peradangan, meningkatkan kekebalan tubuh, meningkatkan ASI, mengobati insomnia, dan mengatur fungsi tiroid.

Saran penyajian:
• Campurkan 1sdm Daun Kelor ke dalam 250ml air hangat,dapat dicampur dengan madu.
• Dicampur bersama dengan juice/smoothie.
• Bisa ditaburkan kedalam soup atau salad.
• Bisa digunakan untuk masker wajah.



#daunkelor #moringa #daunkelorbubuk #moringapowder",4.9
Bubuk Daun Kelor Organik / Organic Moringa Powder - 250g,Rp49.000,,,Nilaya Official Store,Denpasar,1rb+ terjual,https://www.tokopedia.com/nilaya-co/bubuk-daun-kelor-organik-organic-moringa-powder-250g?extParam=ivf%3Dfalse%26keyword%3Dmoringa+powder%26search_id%3D202503110425579FE4D8CBFF7EAD08CR7L%26src%3Dsearch,"READY STOCK di Jakarta, Bandung, Surabaya dan Bali, supaya terdekat anda! - Pengiriman Same-Day bisa! Pengiriman seluruh Indonesia bisa! Produksi pada saat order. Kemasan TIDAK Transparan sehingga bubuknya tetap segar, warnanya hijau terang dan manfaatnya tinggi ! 10 vitamin, 8 asam amino esensial, dan mineral dalam satu superfood? Kok bisa?! Moringa (Daun Kelor) adalah SUPERFOOD yang mengandung: Vitamin (B1, B2, B3, B5, B6, B8, B9, A, C, E) Mineral (kalium, kalsium, magnesium, besi, mangan, selenium) Asam amino esensial (isoleusin, leusin, lisin, metionin, fenilalanin, treonin, triptofan, valin). Mengandung lebih banyak protein daripada sebagian besar sayuran, dan 2 kali lebih banyak protein dan kalsium daripada susu! Kandungan potasiumnya 2 kali lebih penting daripada pisang! Betul ! Jika kita hanya bisa memilih satu superfood, lebih baik memilih Moringa untuk beragam manfaatnya! Cara konsumsi : Minum 1-2 sendok teh dengan yogurt, smoothie atau jus buah. Juga bisa menambahkan moringa ke persiapan kuliner seperti kue, pancake, makanan penutup agar menjadi warna hijau ! Yuk Beli moringa organik dari The Little Herbalist sekarang! BPOM P-IRT 5105103040079-27 TANGGAL KADALUARSA (Expiration Date) : +2 tahun dari tanggal pembelian",5
Flozindo Moringa Powder / Daun Kelor Bubuk,Rp17.993,Rp17.093,5%,Flozindo,Kab. Banyumas,1rb+ terjual,https://www.tokopedia.com/flozindo/flozindo-moringa-powder-daun-kelor-bubuk-slim-108gr-6bd07?extParam=ivf%3Dtrue%26keyword%3Dmoringa+powder%26search_id%3D202503110425579FE4D8CBFF7EAD08CR7L%26src%3Dsearch,"Moringa Oleifera Powder / Serbuk Daun Kelor / Tepung Daun Kelor / bubuk kelor

SPESIFIKASI :
& MURNI 100% DAUN KELOR HIJAU DIKERINGKAN
& Tanpa Campuran, Pengawet ataupun Pewarna
&Warna Hijau Segar Bright, krn diproses alami dan bukan daun Mati/Guguran Daun yg coklat tidak berkhasiat.
& Wangi Khas Moringa Segar, Wangi Moringa Sangat Tajam

Khasiat dan Manfaat
Serbuk Daun Kelorina merupakan suplemen alami, sumber antioksidan alami, asam amino essensial, multivitamin dan mineral, serta sumber asupan nutrisi tinggi alami lainnya bagi tubuh. Secara enpiris maupun hasil penelitian ilmiah, serbuk daun Kelor juga terbukti berhasil mengatasi malnutrisi (gizi buruk), berkhasiat obat untuk beragam penyakit degeneratif, digunakan sebagai anti kanker, anti tumor, anti diabetes, anti hipertensi, peluruh lemak jahat kolesterol, detoksifikasi, tonic penguat jantung, bahkan


Penggunaan : sebagai campuran minuman (teh, kopi, jamu, juice, sirup, madu) dan makanan (aneka sayuran, nasi goreng, kue, agar-agar, puding, dll), serta bahan pengisi kapsul.

Dosis : Dianjurkan untuk dikonsumsi 2-3 sendok teh per hari
& pagi 1 sendok teh malam 1 sendok teh",4.9
Daun Kelor Bubuk / Moringa Powder Premium Original Nutrione,Rp105.000,Rp59.500,43%,NutriOneID,Jakarta Utara,1rb+ terjual,https://www.tokopedia.com/nutrioneid/daun-kelor-bubuk-moringa-powder-premium-original-nutrione?extParam=ivf%3Dfalse%26keyword%3Dmoringa+powder%26search_id%3D202503110425579FE4D8CBFF7EAD08CR7L%26src%3Dsearch,"Nutrione Daun Kelor Bubuk (MoringaPowder)

Daun kelor merupakan tanaman asli India yang mengandung protein, vitamin, dan mineral guna melawan malnutrisi. Daun kelor adalah salah satu sumber makanan yang bermanfaat untuk kesehatan

Nutrione Daun Kelor Bubuk (MoringaPowder) merupakan produk bubuk hasil olahan dari daun kelor yang terbuat dari 100% daun kelor asli dan tanpa menggunakan bahan pengawet.

- Terbuat dari 100% daun kelor asli dan alami
- Tanpa menggunakan bahan pengawet
- Berat bersih 250 gram
- Bubuk halus dan mudah larut dalam air
- Dapat tahan sampai dengan 1 tahun

Manfaat Daun kelor:
1.Membantu menurunkan kadar gula darah
2.Membantu meredakan peradangan
3.Menurunkan kolestrol
4.Melindungi tubuh dari racun arsenik
5.Baik untuk kesehatan jantung dan daya ingat
6.Mencegah anemia
7.Mencegah kecacatan bayi dalam kandungan
8.Meningkatkan energi dalam tubuh
9.Membantu memperlancar ASI

Cara Penyimpanan: Simpan di suhu ruangan dan hindari dari paparan sinar matahari langsung

Cara Penggunaan:
-Dapat digunakan sebagai jamu atau makanan
- Anda juga dapat langsung menyeduh daun kelor bubuk untuk diminum langsung, anda juga dapat menambahkan lemon, madu, atau jahe agar lebih lezat.
- Dapat juga diracik dengan bahan-bahan lain

Kebijakan Toko :
- Bila ada kendala/pertanyaan harap menghubungi kami terlebih dahulu lewat chat",4.9
