name,original_price,discounted_price,discount,store,location,sold,details_link,description,rating
Teh Daun Kelor / Pure Moringa Tea Tisane - 250 gram,Rp45.000,,,Tea & Tisane Bulk Store,Kab. Bekasi,10 terjual,https://www.tokopedia.com/tntbulkstore/teh-daun-kelor-pure-moringa-tea-tisane-250-gram?extParam=ivf%3Dfalse%26keyword%3Dmoringa+tea&src=topads,"Daun Kelor
Teh Daun Kelor
Moringa
Pure Moringa Tea Tisane


Netto : 250 gram / 500 gram / 1 kg


--------------------


Moringa atau kelor merupakan teh herbal yang berasal dari daun pohon moringa. Pohon moringa juga sering disebut sebagai pohon ajaib karena kegunaannya sebagai obat. Seluruh bagian dari pohon kelor memiliki kegunaan. Daunnya bisa direbus dan dimakan seperti sayur bayam dan bisa juga dikeringkan menjadi teh.

TASTE
Rasa yang ringan dan netral.

BENEFITS
- Mengontrol diabetes
- Membantu menurunkan berat badan
- Meningkatkan energi
- Membantu kesehatan kulit
- Meredakan nyeri haid
- Menyehatkan rambut
- Meningkatkan imun tubuh
- Membantu kesehatan jantung
- Membantu kesehatan pencernaan
- Meningkatkan kesuburan pria
- Membantu kesehatan otak
- Membantu menyeimbangkan hormon di tubuh
- Membantu mempercepat proses penyembuhan luka

STORAGE
Simpan di tempat yang kedap, kering, sejuk, dan jauh dari cahaya matahari. Simpan di lemari pendingin setelah dibuka untuk penyimpanan jangka panjang.",5
MORINGA TEA - TEH DAUN KELOR ISI 30 TEA BAG,Rp21.000,,,elif Tea & Tisane,Kab. Cirebon,2rb+ terjual,https://www.tokopedia.com/eliftea/moringa-tea-teh-daun-kelor-isi-30-tea-bag-pure-moringa?extParam=ivf%3Dtrue%26keyword%3Dmoringa+tea&src=topads,"Menjaga imunitas tubuh kini sangat penting saat kondisi ini.

Beragam hal dilakukan untuk menajaga imunitas, salah satunya dengan mengonsumsi makanan bergizi. Daun kelor menjadi salah satu pilihan lantaran mengandung sejumlah vitamin dan antioksidan.

""Tim peneliti Universitas Indonesia (UI) dan IPB menemukan kandidat antivirus dari bahan alam Indonesia. Golongan senyawa tersebut antara lain hesperidin, rhamnetin, kaempferol, kuersetin dan myricetin yang terk
Salah satu produk alternatif pangan, banyak diminati dimancanegara ;)
Produk ini dapat disimpan selama 24 bulan sejak tanggal pembuatan di dalam wadah tertutup pada suhu kamar dan kelembaban rendah. Produk dapat dipesan dengan skala industri atau untuk skala kecil seperti untuk penelitian.

- Berbentuk teh celup (dengan teabag)
- Dikonsumsi seperti teh pada umumnya, bisa ditambahkan madu agar lebih nikmat
- Dapat dikonsumsi 3- x sehari, sesuai kebutuhan.

Isi : 30 tea bag
Berat Bersih : 30 x 2 gram
(*)Aman untuk ibu ham dan menyusui

Manfaat utama Teh Daun Kelor untuk meningkatkan imunitas.

Manfaat lainnya :
1. Menyehatkan kulit
2. Mengatasi diabetes
3. Menyehatkan mata
4. Mencegah kanker
5. Mengobati Rematik
6. Mengatasi Cacingan
7. Mengobati Alergi
8. Mengobati Herpes, Kurap dan Luka bernanah
9. Menghilangkan Flek wajah
10. Penghancur batu ginjal

Keunggulan :
1. 100 % Organik
2 Tanaman dibudidayakan intensif tanpa pupuk dan pestisida kimia
3. Daun diproses secara higienis untuk mencegah kontaminasi bakteri
4. Teh daun dikemas dengan rapi",4.9
Moringa Liza Herbal Green Tea Celup Untuk Kekebalan Tubuh,Rp35.000,,,LHI Official,Bogor,2 terjual,https://www.tokopedia.com/lhiofficial/moringa-liza-herbal-green-tea-celup-untuk-kekebalan-tubuh?extParam=ivf%3Dfalse%26keyword%3Dmoringa+tea&src=topads,"Terbuat dari daun teh hijau, daun kelor dan yang dikemas secara higienis dengan pelindung aluminium foil.

Khasiat Lain : Membantu memelihara kesehatan, menigkatkan system kekebalan tubuh, meningkatkan kesehatan pencernaan

Nomor Registrasi: POM TR 163292901

Isi 25 kantong @2 gram",0
Dried Moringa Leaf Tea / Teh Daun Kelor Kering - 50 Gram - 100 Gram,Rp15.000,,,Raw Herbal Tisane,Kab. Cirebon,18 terjual,https://www.tokopedia.com/herbal-alami-02/dried-moringa-leaf-tea-teh-daun-kelor-kering-50-gram-100-gram-61007?extParam=ivf%3Dfalse%26keyword%3Dmoringa+tea&src=topads,"Moringa Tea / Teh Seduh Daun Kelor Tisane 50 Gram

Teh Seduh Daun kelor adalah Superfood untuk ASI booster yang mengandung antioksidan dan sejumlah nutrisi penting seperti beta-karoten dan asam amino esensial. Teh ini memiliki rasa earthy yang mirip dengan teh hijau. Teh kelor memiliki manfaat untuk meningkatkan fungsi sistem pencernaan, sistem imunitas tubuh, dan juga membersihkan racun dari tubuh

MANFAAT:
1. Membersihkan racun dari tubuh
2. Mengandung antioksidan dan nutrisi penting seperti beta karoten dan asam amino esensial
3. Meningkatkan fungsi sistem pencernaan
4. Meningkatkan sistem imunitas tubuh
5. ASI booster


Moringa tea is superfood for breast milk booster that loaded with antioxidants and some amounts of essential nutrients such as beta-carotene and essential amino acids. This tea offers an earthy flavor similar to green tea, but less astringent. It helps to improve digestion, immune system, and clear toxins from body

BENEFIT:
1. Cleanse toxins from the body
2. Contains antioxidants and essential nutrients such as beta carotene and essential amino acids
3. improving function of digestive system
4. Improving immune system
5. Booster for mother's breast milk

How to enjoy:
1. Put 1 teaspoon of moringa leaves in cup
2. Pour 200 ml of boiling water to the cup
3. Let steep for 5 minutes
4. Strain the leaves
5. Add sugar or honey to taste",4.8
Flozindo Moringa Tea / Teh Daun Kelor Organik,Rp13.045,Rp12.393,5%,Flozindo,Kab. Banyumas,750+ terjual,https://www.tokopedia.com/flozindo/flozindo-moringa-tea-teh-daun-kelor-organik-pack-45gr-319e5?extParam=ivf%3Dtrue%26keyword%3Dmoringa+tea&src=topads,"Komposisi : Moringa Oleifera
P-IRT No.2123304061431-25

Teh Daun Kelor merupakan Teh seduh yang berasal dari Daun Kelor Kering tanpa fermentasi. Disajikan dan diminum sebagaimana teh seduh pada umumnya.
Journal of National Cancer Institute pada tahun 1994 menerbitkan hasil studi epidemiologi yang menunjukkan bahwa minum teh kelor mengurangi hampir 60 persen risiko kanker esofagus pada laki-laki dan perempuan di Cina. Para peneliti dari Universitas Purdue baru-baru ini juga menyimpulkan bahwa senyawa dalam Teh Kelor menghambat pertumbuhan sel kanker. Ada juga penelitian yang menunjukkan bahwa minum Teh Kelor menurunkan kadar kolesterol total, serta meningkatkan rasio kolesterol baik (HDL) dan kolesterol buruk (LDL).
Singkatnya, minum Teh Kelor telah dikenal dapat membantu beberapa kondisi medis seperti kanker, rheumatoid arthritis, kadar kolesterol tinggi, penyakit cariovascular, infeksi dan gangguan fungsi kekebalan tubuh.

Khasiat dan Manfaat
Suplemen alami, sumber antioksidan alami, asam amino essensial, multivitamin dan mineral, serta sumber asupan nutrisi tinggi alami lainnya bagi tubuh. Secara enpiris maupun hasil penelitian ilmiah, serbuk daun Kelor juga terbukti berhasil mengatasi malnutrisi (gizi buruk), berkhasiat obat untuk beragam penyakit degeneratif, digunakan sebagai anti kanker, anti tumor, anti diabetes, anti hipertensi, peluruh lemak jahat kolesterol, detoksifikasi, tonic penguat jantung

Tips :
Simpanlah di tempat yg terlindung dari cahaya matahari
Simpan di tempat tertutup kedap udara, kering, tidak lembab (toples, botol, kaleng, dll )

Flozindo adalah produk alami untuk membantu memelihara kesehatan Anda. Terbuat dari bahan-bahan pilihan terbaik dari alam, Flozindo membantu menjaga keseimbangan tubuh, meningkatkan sistem kekebalan, dan memberikan energi ekstra untuk aktivitas harian Anda.
Flozindo bukan hanya sekedar suplemen, tetapi juga teman terbaik Anda dalam perjalanan menuju hidup yang lebih sehat dan bahagia.
Jangan tunggu lagi, mulailah perawatan alami Anda dengan kami

Flozindo.id",4.9
MORINGA PYRAMID TEA --- Teh Celup Piramid Daun Kelor Organik Premium,Rp35.000,,,Moringa Organik Indonesia Official,Kab. Blora,2rb+ terjual,https://www.tokopedia.com/kelorina/moringa-pyramid-tea-teh-celup-piramid-daun-kelor-organik-premium?extParam=ivf%3Dtrue%26keyword%3Dmoringa+tea%26search_id%3D20250310230044822C846D2BB9B42CEDY7%26src%3Dsearch,"TURUNKAN GULA DARAH DAN KOLESTEROL DENGAN DAUN KELOR!

Moringa Pyramid Tea adalah seduhan daun Kelor organik 100% yang diolah dengan cara yang sangat khusus sehingga menghasilkan produk turunan terbaik yang menjadi best produk MOI.

Berasal dari 100% daun kelor segar yang dibudidayakan dengan kaidah organik. Proses pengolahan Moringa Organik Indonesia menjamin keutuhan Nutrisi Tinggi yang dikandung daun Kelor, mengandung 18 Asam Amino yang berperan penting untuk kesehatan dan pertumbuhan.

Daun kelor memiliki kandungan gizi dan nutrisi sangat tinggi yang dapat membantu untuk:

Meningkatkan daya tahan tubuh agar kuat dari penyakit.
Menjadi sumber anti-oksidan untuk melawan radikal bebas
Menstabilkan gula darah dalam tubuh
Meningkatkan sistem peredaran darah

Daun kelor kering ini terbuat dari 100% daun kelor ORGANIK yang setiap gramnya mengandung:

7x Vitamin C Jeruk
10x Vitamin A Wortel
25x Zat besi Bayam
9x Protein Yogurt
17x Kalium Susu
15x Potasium Pisang

Dikeringkan dengan jaminan tanpa kontaminasi dari luar untuk menjaga kandungan kualitas kelor tetap terjaga.

BPOM RI MD 071182000500076
Masa Simpan 6 bulan
Lihat Petunjuk Penggunaan.

15 Tea Bag @2 gram",5
Flozindo Moringa Tea / Teh Daun Kelor Organik,Rp13.045,Rp12.393,5%,Flozindo,Kab. Banyumas,750+ terjual,https://www.tokopedia.com/flozindo/flozindo-moringa-tea-teh-daun-kelor-organik-pack-45gr-319e5?extParam=ivf%3Dtrue%26keyword%3Dmoringa+tea%26search_id%3D20250310230044822C846D2BB9B42CEDY7%26src%3Dsearch,"Komposisi : Moringa Oleifera
P-IRT No.2123304061431-25

Teh Daun Kelor merupakan Teh seduh yang berasal dari Daun Kelor Kering tanpa fermentasi. Disajikan dan diminum sebagaimana teh seduh pada umumnya.
Journal of National Cancer Institute pada tahun 1994 menerbitkan hasil studi epidemiologi yang menunjukkan bahwa minum teh kelor mengurangi hampir 60 persen risiko kanker esofagus pada laki-laki dan perempuan di Cina. Para peneliti dari Universitas Purdue baru-baru ini juga menyimpulkan bahwa senyawa dalam Teh Kelor menghambat pertumbuhan sel kanker. Ada juga penelitian yang menunjukkan bahwa minum Teh Kelor menurunkan kadar kolesterol total, serta meningkatkan rasio kolesterol baik (HDL) dan kolesterol buruk (LDL).
Singkatnya, minum Teh Kelor telah dikenal dapat membantu beberapa kondisi medis seperti kanker, rheumatoid arthritis, kadar kolesterol tinggi, penyakit cariovascular, infeksi dan gangguan fungsi kekebalan tubuh.

Khasiat dan Manfaat
Suplemen alami, sumber antioksidan alami, asam amino essensial, multivitamin dan mineral, serta sumber asupan nutrisi tinggi alami lainnya bagi tubuh. Secara enpiris maupun hasil penelitian ilmiah, serbuk daun Kelor juga terbukti berhasil mengatasi malnutrisi (gizi buruk), berkhasiat obat untuk beragam penyakit degeneratif, digunakan sebagai anti kanker, anti tumor, anti diabetes, anti hipertensi, peluruh lemak jahat kolesterol, detoksifikasi, tonic penguat jantung

Tips :
Simpanlah di tempat yg terlindung dari cahaya matahari
Simpan di tempat tertutup kedap udara, kering, tidak lembab (toples, botol, kaleng, dll )

Flozindo adalah produk alami untuk membantu memelihara kesehatan Anda. Terbuat dari bahan-bahan pilihan terbaik dari alam, Flozindo membantu menjaga keseimbangan tubuh, meningkatkan sistem kekebalan, dan memberikan energi ekstra untuk aktivitas harian Anda.
Flozindo bukan hanya sekedar suplemen, tetapi juga teman terbaik Anda dalam perjalanan menuju hidup yang lebih sehat dan bahagia.
Jangan tunggu lagi, mulailah perawatan alami Anda dengan kami

Flozindo.id",4.9
Teh kelor organik (Moringa Drip Tea),Rp75.900,Rp71.346,6%,La Moringa Indonesia,Jakarta Selatan,1rb+ terjual,https://www.tokopedia.com/lamoringa/teh-kelor-organik-moringa-drip-tea-original-abf81?extParam=ivf%3Dfalse%26keyword%3Dmoringa+tea%26search_id%3D20250310230044822C846D2BB9B42CEDY7%26src%3Dsearch,"SATU-SATUNYA MORINGA DRIP TEA DI INDONESIA
RASA JAUH SEKALI DENGAN TEH KELOR CELUP.... JANGAN TERGIUR DENGAN TEH KELOR MURAHAN (TUBRUK & BAG)

Rasa kami eksotis, nikmat, harum, sehat, ringan menenangkan

Sudah di blind testing lebih dari 20 orang, dan semuanya bilang teh kelor kami rasanya lebih nikmat dan lebih premium.

Moringa Drip Tea Original adalah Teh Kelor No. 1 di Indonesia dengan bahan 100% organik tanpa bahan pengawet dan 100% halal.

*Komposisi: Biji, Bunga, Batang, Daun, Serbuk Moringa 

*Faktanya Moringa/Kelor mengandung: 
10x Vitamin A > Wortel
25x Zat Besi >  Bayam
15x Potasium > Pisang
7x Vitamin C  >  Jeruk
17 Kalsium > Susu
9x Protein > Yougurt

*Detail Produk:
- Berat 50 gram
-  Isi 10 Sachet dalam 1 Box
- Diseduh 2-3 kali tergantung ukuran gelas
- Besertifikasi HALAL
- Bersertifikasi BPOM
- Masa penyimpanan 2 tahun

*Manfaat Moringa Drip Tea bagi kesehatan :
- Meningkatkan imun tubuh
- Tinggi Antioxidant
-  Anti-aging
- Mengandung vitamin A, D, C, kalsium, pottasium
- Meningkatkan Produksi ASI

-------------------------------------------------------------------------------------------------------------------------------------

Moringa Drip Tea Clitoria adalah Produk inovatif dan unik dengan campuran Kelor dan Bunga Clitoria yang mengandung antioksidan yang tinggi. Bunga Telang / Clitoria memiliki ciri khas warna biru. 

*Komposisi: Bunga Telang Kering, Biji Kelor , Bunga Kelor, Batang Kelor, Daun Kelor, Serbuk Kelor

*Manfaat Bunga Clitoria bagi kesehatan :
- Tinggi antioksidant
- Tinggi kandungan Vitamin C, B1 dan B2


-------------------------------------------------------------------------------------------------------------------------------------
Moringa Drip Tea Rosela adalah Teh dengan campuran alami dan segar antara Kelor dan Bunga Rossela yang mengandung banyak manfaat. Bunga Rosela memiliki ciri khas warna merah. 

*Komposisi: Bunga Rosela Kering, Biji Kelor , Bunga Kelor, Batang Kelor, Daun Kelor, Serbuk Kelor

*Manfaat Bunga Rosela bagi kesehatan :
-Tinggi Asam Amino
- Anti inflamasi
- Anti radang


Nah , Moriga Lovers banyak banget kan manfaat Moringa Drip Tea bagi kesehatan, langsung aja tambahkan ke keranjang belanja dan follow La Moringa Indonesia dapatkan DISKON menarik lainnya!",5
Daun Kelor Kering / Dried Moringa Leaf / Teh Daun Kelor,Rp12.000,,,Essenli Official Shop,Semarang,100+ terjual,https://www.tokopedia.com/essenliofficial/daun-kelor-kering-dried-moringa-leaf-teh-daun-kelor?extParam=cmp%3D1%26ivf%3Dfalse%26keyword%3Dmoringa+tea%26search_id%3D20250310230044822C846D2BB9B42CEDY7%26src%3Dsearch,"Daun Kelor / Moringa Leaves
Kemasan : 50gr

Daun Kelor (Moringa oleifera) dari Essenli dibuat dari 100% daun kelor/moringa asli, tanpa campuran apapun. Daun Kelor terkenal sebagai salah satu tanaman paling bergizi dengan kombinasi yang komplit dibandingkan tanaman lainnya. Lebih dari 40 antioksidan dan 90 jenis nutrisi penting seperti vitamin, mineral, asam amino, antioksidan, anti penuaan dan anti inflamasi.

Kandungan nutrisi yang banyak dari daun kelor sendiri membuat tanaman ini dijuluki sebagai The Miracle Tree dan Tree of Life. Daun kelor memiliki manfaat menurunkan kolesterol, membantu mengontrol gula darah, melawan berbagai jenis kanker, mengurangi peradangan, meningkatkan kekebalan tubuh, meningkatkan ASI, mengobati insomnia, dan mengatur fungsi tiroid.

Saran penyajian:
Campurkan 1sdm Daun Kelor ke dalam 250ml air panas kemudian disaring,dapat dicampur dengan madu.",5
Teh celup daun kelor MORINGA,Rp15.000,,,Al-fazza Herbal,Kab. Magelang,1rb+ terjual,https://www.tokopedia.com/al-fazzaherbal/teh-celup-daun-kelor-moringa?extParam=ivf%3Dfalse%26keyword%3Dmoringa+tea%26search_id%3D20250310230044822C846D2BB9B42CEDY7%26src%3Dsearch,"READY ,,LANGSUNG ORDER SAJABARANG SELALU BARU ,EXP LAMA

DAUN KELOR / MORINGA

Merupakan sumber vitamin B6, vitamin C, provitamin A sebagai Beta karoten, Magnesium, Protein dan nutrisi lain. Jika di bandingakan dengan makanan lain, Daun KELOR sangat tinggi kandungan nutrisinya.

Khasiat Daun kelor :
- Membantu mengatasi gangguan pencernaan
- Menjaga kesehatan dan stamina tubuh
- Membantu fungsi ginjal dan hati
- Menjaga kesehatan rambut dan pertumbuhannya
- Membantu mengatasi penyakit jantung
- Anti kanker
- Anti diabetes
- Membantu mengurangi peradangan sendi dan Rematik

KOMPOSISI :
- Dain Kelor
- Green Tea Original

ISI 20 KANTONG CELUP

Aturan minum :
Seduhlah teh kedalam segelas air panas diamkan selama 10-15 menit, tambahkan pemanis alami rendah kalori secukupnya.
Minum 2x sehari (pagi dan sore)

PERINGATAN :
DAUN KELOR TIDAK COCOK UNTUK IBU HAMIL MUDA

#tehdaunkelor #moringgatea #tehherbal",4.9
