name,price,store,location,sold,details_link,description
"Herbana Relief Sari Daun Kelor Moringa Sumber Nutrisi, Vitamin- 30 Kapsul",Rp70.000,HERBANA,Tangerang,750+ terjual,https://www.tokopedia.com/herbana/herbana-relief-sari-daun-kelor-moringa-sumber-nutrisi-vitamin-30-kapsul?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule&src=topads,"Herbal
Halal MUI
No. BPOM: TR 142 381 121
Isi 30 kapsul
Fungsi utama: Membantu menjaga kesehatan
Aturan pakai: 2x2 kapsul
Tiap kapsul mengandung :: 400 mg Ekstrak Moringae oleiferae Folium

Herbana menyediakan alternatif untuk gaya hidup yang lebih sehat dengan mengkombinasikan kearifan lokal dengan proses yang modern, sehingga anda bisa menikmati potensi dari alam dengan lebih mudah. Herbana terbuat dari ekstrak tunggal tumbuhan yang diproses dengan menggunakan System Quadra Extraction.
Diproduksi oleh PT Deltomed Laboratories
*Baca aturan pakai

Note :
Jam operasional admin Herbana Senin sd Jumat, pukul 09.00 sd 15.00 wib.
Pesanan yang masuk akan diproses maksimal H+1 setelah terbit invoice dan no resi akan update pada akun anda H+2 setelah terbit invoice. Kecuali pada hari Sabtu-Minggu, atau hari libur nasional (toko kami tutup/tidak ada pengiriman).
Pesanan yang bisa di klik dan masuk keranjang, maka stok ready"
"Naturebell Moringa Oleifera 8,000mg - 240 Capsules-Non-GMO,Gluten Free",Rp650.000,heavenlyvitamin,Jakarta Barat,60+ terjual,https://www.tokopedia.com/heavenlyvitamin/naturebell-moringa-oleifera-8-000mg-240-capsules-non-gmo-gluten-free?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule&src=topads,"Naturebell Moringa Oleifera 8,000mg - 240 Capsules-Non-GMO,Gluten Free

Produk Dijamin100% ORI dan Segel ya kak
Made in USA


About this item :
- Kapsul kelor organik premium potensi tinggi, setara herbal 8,000mg per porsi, ekstrak daun kelor oleifera 8:1 pekat, daun mentah yang bersumber dari India.

- 240 kapsul per botol berisi bubuk kelor segar, ukuran porsi 2 kapsul, menyediakan 1,000mg ekstrak kelor 8:1 (setara herbal 8,000mg) per dosis, persediaan 4 bulan (120 porsi).

- Nikmati khasiat makanan super hijau tradisional, meminumnya setiap hari dapat mendukung fungsi sistem kekebalan tubuh, metabolisme energi, dan kesehatan perawatan kulit baik pada pria maupun wanita.

- Kelor NatureBell diekstraksi dari daun segar yang dipanen di pertanian India, membantu mempertahankan antioksidan, mineral, asam amino esensial, vitamin, serat alami, polifenol, dan flavonoid tingkat tinggi.

- Suplemen kelor non-transgenik dan non-iradiasi asli. Mengandung bahan-bahan murni bebas kedelai, susu, gluten, pengawet, gandum, ikan, telur, dan kacang tanah. Semua produk juga diuji di laboratorium pihak ketiga untuk keamanan dan potensinya.


Dosis dan cara minum :
""Untuk orang dewasa, minum dua kapsul setiap hari. Sebaiknya setelah makan atau seperti yang diarahkan oleh ahli kesehatan.
""

Isi : 240 Capsules


Perhatian !!!!
Sebelum membeli produk,diharapkan membaca terlebih dahulu deskripsi yang ada diatas dan melihat kandungan suplement fact yang ada di gambar atas.
Kami selaku seller tidak bertanggung jawab apabila dikemudian hari, terjadi kontra indikasi akibat dari penggunaan produk tersebut.

Salam
#Heavenly Vitamin"
Moringa Oleifera - Ekstrak Daun Kelor 100 KAPSUL - botol 100 kaps,Rp80.000,D'herbalist,Jakarta Selatan,250+ terjual,https://www.tokopedia.com/dherbalist/moringa-oleifera-ekstrak-daun-kelor-100-kapsul-botol-100-kaps-5035b?extParam=ivf%3Dtrue%26keyword%3Dmoringa+capsule&src=topads,"Nama Produk : Dherbalist Moringa Oleifera
Izin. : P-IRT 21031740215551-29
isi. : Bubuk daun kelor 250gr
Khasiat : Meningakatkan daya tahan tubuh

D'herbalist moringa Oleifera powder/ bubuk daun kelor 100% murni daun kelor tanpa campuran yang diolah menjadi bubuk. Daun Kelor merupakan salah satu tanaman yang mempunyai kombinasi yang komplit dibandingkan tanaman lainnya. Daun Kelor mempunyai kandungan nutrisi penting seperti vitamin, mineral, asam amino, antioksidan, anti penuaan dan anti inflamasi.

Beberpa Manfaat Daun Kelor:
- mencegah Kanker
- menurunkan kolesterol
- meningkatkan ASI
- mencegah peradangan
- meningkatkan daya tahan tubuh
- dll

Cara Penyajian :
1-2 sendok teh 250ml diseduh dengan air panas, kemuadian di saring/ diendapkan diminum sehari 2 kali (Pagi dan sore) bisa dikonsumsi menggunakan madu atau diminum langsung.





Moringa Oleifera Kapsul

100% alami natural tanpa bahan kimia Kapsul Halal MUI LP POM MUI: 00140016360701
Isi 100 kapsul @ 500mg
Exp date : 10 – 2026

Aturan Pakai :
Pencegahan 2 x 1 Kapsul/hari
Pengobatan 2 x 2 kapsul /hari
Diminum setelah makan

Komposisi:
ekstrak Moringa oleifera 500Mg

Cara penyimpanan:
Tetap tertutup rapat dan taruh ditempat yang sejuk dan kering
Hindari paparan panas yang berlebihan
Hindari dari jangkauan anak2x.

Moringa Oleifera/Daun Kelor adalah tanaman yang dijuluki tanaman ajaib dikarenakan tanaman ini banyak mengandung Nutrisi dan senyawa aktif yang bermanfaat bagi kesehatan tubuh. Tanaman Ini mengandung Vit C dan Kalium yang tinggi. Kandungan Nutrisi yang terkandung dalam daun kelor antara lain : Vit C 25Mg, Kalium, 1500Mg, Protein, Vit A, Vit B2, Vit B6, Zat Besi Magnesium, Asam Amino esensial dan antioksidan.

Manfaat Moringa Oleifera (Daun Kelor) :
- Menghambat Pertumbuhan Sel Kanker
- Dapat Melancarkan ASI
- Memperkuat Daya Tahan Tubuh
- Mengontrol Kadar Gula Darah
- Menjaga Kesehatan Jantung
- Mengobati Rematik / Nyeri sendi
- Mengatasi Anemia
- Mencegah Infeksi Bakteri, Virus dan Jamur"
Moringa Oleifera 300 Capsules Naturama,Rp288.500,Naturama Herb,Jakarta Selatan,27 terjual,https://www.tokopedia.com/naturamaherb/moringa-oleifera-300-capsules-naturama?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule&src=topads,"Moringa Oleifera Leaf Powder Organic Bubuk Daun Kelor Murni Organik Tidak mengandung pewarna atau pengawet. Praktis dan higienis. Sudah di kemas dalam kapsul Isi 300 Kapsul 100% Organic local grown and fair trade. 100% Alami tanpa campuran bahan kimia, pengawet atau pewarna. Kapsul Halal MUI LP POM MUI: 00140016360701 Kemasan toples HDPE Foodgrade Moringa oleifera adalah tanaman asli India utara yang juga dapat tumbuh di tempat tropis dan sub tropis lainnya, seperti Asia dan Afrika. Pengobatan tradisional telah menggunakan daun, bunga, biji, dan akar tanaman ini selama berabad-abad. Ini secara tradisional telah digunakan sebagai obat untuk kondisi seperti: Diabetes Peradangan yang berlangsung lama Infeksi bakteri, virus, dan jamur Nyeri sendi Kesehatan jantung Kanker Takaran penggunaan: Cukup 2 kali sehari, pagi dan sore Ready Stock. (Jika produk tayang berarti ada stok) Silahkan di Order. #moringaleaf #puremoringa #moringaoleifera"
Moringa Oleifera 180 Kapsul Naturama Bubuk Daun Kelor Organik,Rp172.500,Naturama Store,Jakarta Selatan,1rb+ terjual,https://www.tokopedia.com/naturama/moringa-oleifera-180-kapsul-naturama-bubuk-daun-kelor-organik?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule&src=topads,"Moringa Oleifera Leaf Powder Organic
Bubuk Daun Kelor Murni Organik
Tidak mengandung pewarna atau pengawet.
Praktis dan higienis.
Sudah di kemas dalam kapsul
Isi 180 Kapsul
@500mg
Kemasan toples

Moringa oleifera adalah tanaman asli India utara yang juga dapat tumbuh di tempat tropis dan sub tropis lainnya, seperti Asia dan Afrika. Pengobatan tradisional telah menggunakan daun, bunga, biji, dan akar tanaman ini selama berabad-abad.

Ini secara tradisional telah digunakan sebagai obat untuk kondisi seperti:
Diabetes
Peradangan yang berlangsung lama
Infeksi bakteri, virus, dan jamur
Nyeri sendi
Kesehatan jantung
Kanker

Takaran penggunaan:
 1 kapsul 2 sd 3 kali sehari
Ready Stock. (Jika produk tayang berarti ada stok)
Silahkan di Order.

#moringaleaf
#puremoringa
#moringaoleifera"
Pro Moringa BPOM baru Ekstrak Daun Kelor Ash Shihhah 50 kapsul,Rp18.500,Musyaffa Herbal,Kab. Bekasi,100+ terjual,https://www.tokopedia.com/musyaffaherbal/pro-moringa-bpom-baru-ekstrak-daun-kelor-ash-shihhah-50-kapsul?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule%26search_id%3D20250310002858C73A1F58F0884627CM08%26src%3Dsearch,"Pro Moringa Kapsul Ekstrak Daun Kelor Ash Shihhah
Produk Original
Izin BPOM POM TR 233007061
Diproduksi oleh CV. ASH-SHIHHAH SEJAHTERA
Tasikmalaya-Indonesia.

Aturan minum : 3 x 2 kapsul / hari

Khasiat & kegunaan :
Meningkatkan ketahanan alamiah tubuh
Menyegarkan mata dan otak
Meningkatkan metabolisme tubuh
Meningkatkan struktur sel tubuh
Meningkatkan serum kolesterol alamiah
Mengurangi kerutan pada kulit
Meningkatkan fungsi normal hati & ginjal
Memperindah kulit
Meningkatkan energi
Memudahkan pencernaan
Sebagai anti oksidan
Memelihara sistem imunitas tubuh
Bersifat anti peradangan
Menormalkan kadar gula darah
Memberi perasaan sehat secara menyeluruh"
Moringa Oleifera 180 Kapsul Naturama Bubuk Daun Kelor Organik,Rp172.500,Naturama Store,Jakarta Selatan,1rb+ terjual,https://www.tokopedia.com/naturama/moringa-oleifera-180-kapsul-naturama-bubuk-daun-kelor-organik?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule%26search_id%3D20250310002858C73A1F58F0884627CM08%26src%3Dsearch,"Moringa Oleifera Leaf Powder Organic
Bubuk Daun Kelor Murni Organik
Tidak mengandung pewarna atau pengawet.
Praktis dan higienis.
Sudah di kemas dalam kapsul
Isi 180 Kapsul
@500mg
Kemasan toples

Moringa oleifera adalah tanaman asli India utara yang juga dapat tumbuh di tempat tropis dan sub tropis lainnya, seperti Asia dan Afrika. Pengobatan tradisional telah menggunakan daun, bunga, biji, dan akar tanaman ini selama berabad-abad.

Ini secara tradisional telah digunakan sebagai obat untuk kondisi seperti:
Diabetes
Peradangan yang berlangsung lama
Infeksi bakteri, virus, dan jamur
Nyeri sendi
Kesehatan jantung
Kanker

Takaran penggunaan:
 1 kapsul 2 sd 3 kali sehari
Ready Stock. (Jika produk tayang berarti ada stok)
Silahkan di Order.

#moringaleaf
#puremoringa
#moringaoleifera"
Kapsul Daun Kelor Moringa - Kapsul Kelor Curah Tanpa Penanda,Rp375.000,Moringa Organik Indonesia Official,Kab. Blora,10rb+ terjual,https://www.tokopedia.com/kelorina/kapsul-daun-kelor-moringa-kapsul-kelor-curah-tanpa-penanda?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule%26search_id%3D20250310002858C73A1F58F0884627CM08%26src%3Dsearch,"KAPSUL CURAH UNTUK REFILL, TANPA LABEL (HANYA ADA KODE EXPIRED DAN PRODUKSI, KHUSUS UNTUK YANG MAU REFILL DARI PEMBELIAN KAPSUL BERLABEL

Link Produk Kapsul Berlabel: https://www.tokopedia.com/kelorina/kapsul-daun-kelor-organik

Moringa Kelorina Kapsul Daun Kelor Premium Curah Tanpa Penanda | Original 100% Organic | Anti Bacterial | Herbal Kaya Nutrisi | Detox

Kapsul Daun Kelor Curah Tanpa Penanda untuk repack/reseller/grosir atau stok konsumsi dengan jumlah banyak!

Jaga dan pelihara daya tahan tubuh dengan Kapsul Daun Kelor Organik dari Kelorina!

Produk AMAN berkualitas ekspor yang sudah bersertifikasi lengkap mulai dari BPOM, Halal, Organic CERES, USDA dan ISO 22000:2018.

Kapsul daun kelor memiliki kandungan gizi dan nutrisi sangat tinggi yang dapat membantu untuk:

 Meningkatkan daya tahan tubuh agar kuat dari penyakit.
 Menjadi sumber anti-oksidan untuk melawan radikal bebas
 Menstabilkan gula darah dalam tubuh
 Meningkatkan sistem peredaran darah

Kapsul ini terbuat dari 100% daun kelor ORGANIK yang setiap gramnya mengandung:

 7x Vitamin C Jeruk
 10x Vitamin A Wortel
 25x Zat besi Bayam
 9x Protein Yogurt
 17x Kalium Susu
 15x Potasium Pisang

Dosis dan cara penggunaan:
 2 kapsul, 3 kali sehari

Masa Simpan 1 tahun

Isi: 500 kapsul uk 00 - Transparant
Berat dikemas : 500 g

Disclaimer
Meskipun banyak literatur menyebutkan Kelor memiliki khasiat obat yang terbukti secara ilmiah. Bahkan Kitab Ayur Veda menyebutkan mampu mengatasi 300 penyakit, PT Moringa Organik Indonesia TIDAK PERNAH menyatakan bahwa Kelor adalah Obat, tetapi makanan bernutrisi."
SIDOMUNCUL DAUN KELOR ISI 50 KAPSUL MORINGA OLEIFERA,Rp73.850,GogoMeds,Bandung,100+ terjual,https://www.tokopedia.com/gogomeds/sidomuncul-daun-kelor-isi-50-kapsul-moringa-oleifera?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule%26search_id%3D20250310002858C73A1F58F0884627CM08%26src%3Dsearch,"Khasiat :
Baik untuk memelihara kesehatan, menurunkan kadar gula darah, dan membantu menurunkan kolesterol

Kemasan :
Botol isi 50 kapsul (KEMASAN BARU BOTOL HIJAU)

Aturan pakai :
Minum 2 x sehari @ 1 kapsul sesudah makan"
Ekstrak Daun Kelor / Moringa Oleifera (Isi : 100 Kapsul) Obat Herbal,Rp19.500,PBU OLSHOP,Kab. Serang,750+ terjual,https://www.tokopedia.com/pbuolshop/ekstrak-daun-kelor-moringa-oleifera-isi-100-kapsul-obat-herbal?extParam=ivf%3Dfalse%26keyword%3Dmoringa+capsule%26search_id%3D20250310002858C73A1F58F0884627CM08%26src%3Dsearch,"Kapsul Daun Kelor KEMASAN BARU isi : 100 kapsul @500mg Kami Menjamin Barang yang Dikirimkan 100% Asli (original) Kualitas Super, Alami Tanpa Campuran Bahan Pengawet dan Pewarna. Kapsul Berizin Depkes Dan Hallal MUI Daun kelor (moringa oleifera) memiliki kandungan protein, karbohidrat, zat besi, magnesium, kalium, kalsium, vitamin C, vitamin A, dan asam folat. Dari kandungan inilah yang mengantarkan daun kelor menjadi rujukan pengobatan herbal dengan segudang manfaat. Serbuk Daun Kelor merupakan super food suplemen alami, sumber antioksidan alami, asam amino essensial, multivitamin dan mineral, serta sumber asupan nutrisi tinggi alami lainnya bagi tubuh. Organisasi kesehatan dunia WHO menganjurkan balita dan anak-anak masa pertumbuhan diberi asupan daun kelor karena kandungan gizi berlimpah dan aneka khasiatnya Manfaat Daun Kelor: - Membantu Mengatasi Gizi Buruk / Malnutrisi - Obat Untuk Beragam Penyakit Degeneratif - Sumber Vitamin dan Mineral Tinggi - Meningkatkan Imunitas Alamiah Tubuh - Nutrisi Untuk Kesehatan Mata dan Otak - Melancarkan Metabolisme Sel Tubuh - Menurunkan Lemak dan Kolesterol - Meningkatkan Fungsi Hati dan Ginjal - Memperindah Kulit - Bersifat Anti Aging / Penuaan Dini - Melancarkan Pencernaan - Detoksifikasi dan Menangkal Radikal Bebas - Bersifat Anti Infeksi dan Inflamasi / Peradangan - Kandungan beta-sitosterol Menjaga Gula Darah dan Pankreas - Menormalkan Tekanan Darah - Sebagai Tonic Penguat Jantung dan Hati - Melengkapi Kebutuhan Gizi Ibu Menyusui - Meningkatkan Kinerja Seksual dgn Meningkatkan Testosterone - Mengandung Niazimicin yg Menekan Perkembangan Sel Kanker - Kalium dan Fosfor Tinggi Menjaga Kekuatan Tulang dan Sendi - Mencegah Anemia Aturan pakai : - Pencegahan : 1-2 kapsul 2x sehari - Pengobatan : 2-4 kapsul 3x sehari (Dosis Dapat Ditingkatkan Bila Perlu) Silahkan Diorder...!!! Terima Kasih (^_^)"
